datetime_beginning_ept,total_lmp_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da
10/5/2017 12:00:00 AM,22.69,21.86,0.99,-0.16
10/5/2017 1:00:00 AM,21.62,20.7,1.04,-0.12
10/5/2017 2:00:00 AM,20.69,19.77,1.01,-0.09
10/5/2017 3:00:00 AM,20.12,19.18,1.01,-0.07
10/5/2017 4:00:00 AM,21.03,19.96,1.19,-0.12
10/5/2017 5:00:00 AM,23.47,22.29,1.45,-0.27
10/5/2017 6:00:00 AM,28.21,27.19,1.57,-0.55
10/5/2017 7:00:00 AM,30.29,29.25,1.5,-0.46
10/5/2017 8:00:00 AM,30.12,29.16,1.39,-0.43
10/5/2017 9:00:00 AM,32.05,31.39,1.2,-0.54
10/5/2017 10:00:00 AM,34.12,33.33,1.37,-0.58
10/5/2017 11:00:00 AM,37.03,36.48,1.27,-0.72
10/5/2017 12:00:00 PM,41.06,40.49,1.43,-0.86
10/5/2017 1:00:00 PM,43.3,42.35,1.87,-0.92
10/5/2017 2:00:00 PM,45.6,44.47,2.19,-1.06
10/5/2017 3:00:00 PM,46.55,45.96,1.66,-1.07
10/5/2017 4:00:00 PM,53.02,52.21,2.01,-1.2
10/5/2017 5:00:00 PM,48.28,47.78,1.54,-1.04
10/5/2017 6:00:00 PM,45.18,44.59,1.51,-0.92
10/5/2017 7:00:00 PM,52.82,52.39,1.73,-1.3
10/5/2017 8:00:00 PM,42.67,41.38,2.06,-0.77
10/5/2017 9:00:00 PM,34.85,34.16,1.26,-0.57
10/5/2017 10:00:00 PM,28.19,27.42,1.1,-0.33
10/5/2017 11:00:00 PM,24.66,23.94,0.99,-0.27
10/6/2017 12:00:00 AM,24.76,23.79,1.11,-0.14
10/6/2017 1:00:00 AM,22.86,21.95,1.02,-0.11
10/6/2017 2:00:00 AM,21.95,20.98,1.07,-0.1
10/6/2017 3:00:00 AM,21.48,20.26,1.3,-0.08
10/6/2017 4:00:00 AM,22.19,20.87,1.43,-0.11
10/6/2017 5:00:00 AM,24.59,23.19,1.66,-0.26
10/6/2017 6:00:00 AM,31.51,29.58,2.39,-0.46
10/6/2017 7:00:00 AM,30.83,29.21,2.11,-0.49
10/6/2017 8:00:00 AM,31.04,29.33,2.14,-0.43
10/6/2017 9:00:00 AM,33.18,31.66,2.01,-0.49
10/6/2017 10:00:00 AM,38.63,37.21,2.19,-0.77
10/6/2017 11:00:00 AM,41.98,39.85,2.99,-0.86
10/6/2017 12:00:00 PM,44.17,41.71,3.46,-1
10/6/2017 1:00:00 PM,45.64,43.98,2.77,-1.11
10/6/2017 2:00:00 PM,51.03,48.63,3.74,-1.34
10/6/2017 3:00:00 PM,52.6,50.52,3.53,-1.45
10/6/2017 4:00:00 PM,55.97,51.95,5.53,-1.51
10/6/2017 5:00:00 PM,49.87,48.01,3.25,-1.39
10/6/2017 6:00:00 PM,43.89,41.79,3.28,-1.18
