time,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,outage,peak_bi
0,1613.5,1722.8,1784.2,1764.2,1612.7,1441.6,1332.3,23.79,1.01,0.45,21.86,0.91,0.23,20.11,1.6,0.46,17.52,1.99,0.6,17.01,2.98,0.45,15.79,3.13,0.58,25.25,23,22.17,20.11,20.44,19.5,55033,0
1,1523.8,1657.1,1708,1681.1,1536.1,1400.5,1279.6,21.95,0.93,0.47,20.7,0.96,0.26,18.86,1.84,0.47,16.15,2.01,0.71,17.03,2.4,0.45,14.99,3.26,0.64,23.35,21.92,21.17,18.87,19.88,18.89,55033,0
2,1463.8,1584.6,1656,1622.5,1486.8,1386.8,1248.7,20.98,0.98,0.46,19.77,0.92,0.33,17.8,1.92,0.48,15.65,2.28,0.68,16.15,2.34,0.54,14.03,3.41,0.61,22.42,21.02,20.2,18.61,19.03,18.05,55033,0
3,1430.4,1549.9,1622.9,1590.6,1469.2,1389.6,1234.6,20.26,1.18,0.48,19.18,0.93,0.35,17.22,2,0.48,15.41,2.32,0.69,15.95,2.32,0.56,12.97,3.43,0.57,21.92,20.46,19.7,18.42,18.83,16.97,55033,0
4,1423.8,1581,1648,1602.1,1490.5,1425.2,1231.4,20.87,1.31,0.43,19.96,1.11,0.25,18.04,1.95,0.4,15.94,2.39,0.74,16.73,2.79,0.49,13.22,4.14,0.55,22.61,21.32,20.39,19.07,20.01,17.91,55033,0
5,1450,1688,1755.5,1702.4,1596.6,1541,1246.5,23.19,1.55,0.19,22.29,1.35,-0.06,20.82,1.86,0.26,18.66,2.53,0.5,19.6,3.13,0.63,13.7,4.11,0.58,24.93,23.58,22.94,21.69,23.36,18.39,55033,0
6,1515.2,1897.8,1966.2,1907.6,1800.8,1747.6,1291.8,29.58,2.41,0.24,27.19,1.53,-0.3,24.29,1.92,-0.16,23.61,2.59,0.21,24.44,2.73,0.79,14.29,3.93,0.6,32.23,28.42,26.05,26.41,27.96,18.82,55033,0
7,1597.5,2033.8,2112.8,2038.4,1928.3,1872.9,1339.8,29.21,2.13,0.1,29.25,1.41,-0.02,24.11,1.33,-0.03,23.69,1.73,0.27,23.99,2.12,0.85,15.32,3.29,0.73,31.44,30.64,25.41,25.69,26.96,19.34,55033,0
8,1670.4,2072.1,2131.8,2062.8,1948.9,1894.1,1413.1,29.33,2.21,0.12,29.16,1.34,0.04,24.22,1.58,0.02,24.28,1.63,0.24,24.64,2.72,0.89,17.58,3.13,0.62,31.66,30.54,25.82,26.15,28.25,21.33,55033,0
9,1763.8,2105.5,2164.2,2114.6,2001.2,1945.6,1476.9,31.66,2.11,0.15,31.39,1.22,-0.03,26.01,1.74,0.08,26.18,1.47,0.33,25.57,3.18,0.81,19.53,2.66,0.55,33.92,32.58,27.83,27.98,29.56,22.74,55033,0
10,1865.7,2140.4,2186.1,2179.3,2078.6,2008.8,1526.8,37.21,2.21,-0.13,33.33,1.4,0.08,28.76,2.02,-0.03,29.6,1.58,0.43,27.67,3.38,0.7,20.55,2.39,0.49,39.29,34.81,30.75,31.61,31.75,23.43,55033,0
11,1946.9,2150.3,2175.3,2260.1,2132,2043.3,1556.6,39.85,3.25,-0.25,36.48,1.3,0.16,30.23,2.23,0.09,31.3,1.69,0.54,29.26,3.53,0.67,21.03,2.51,0.56,42.85,37.94,32.55,33.53,33.46,24.1,55033,0
12,2011.3,2175.6,2167.2,2322.2,2194.6,2102,1578.6,41.71,4.02,-0.37,40.49,1.52,-0.18,34.9,3.08,0.25,33.46,2.43,0.6,31.6,3.87,0.65,21.56,2.42,0.59,45.36,41.83,38.23,36.49,36.12,24.57,55033,0
13,2062.5,2207.1,2173.7,2395.9,2260.3,2141.2,1584,43.98,3.34,-0.45,42.35,2.27,-0.01,37.01,3.21,0.06,36.36,1.71,0.8,35.13,5.03,0.7,21.82,2.44,0.63,46.87,44.61,40.28,38.87,40.86,24.89,55033,0
14,2099.1,2199,2170.3,2391.8,2320.2,2163,1582.6,48.63,5.13,-0.8,44.47,3.38,-0.06,38.24,3.25,0.31,35.95,3.3,0.95,34.34,4.52,0.62,21.76,2.76,0.61,52.96,47.79,41.8,40.2,39.48,25.13,55033,0
15,2132.3,2176.4,2146.4,2372.9,2353.8,2170.2,1599.5,50.52,5.23,-0.93,45.96,2.7,-0.01,39.8,3.06,0.43,36.43,3.4,0.97,34.62,4.74,0.6,22.06,2.79,0.62,54.82,48.65,43.29,40.8,39.96,25.47,55033,0
16,2150.1,2162.4,2134.3,2359.1,2387.4,2180.8,1636.8,51.95,7.28,-0.94,52.21,3.3,0.06,44.39,3.12,0.4,40.66,2.67,1.1,34.81,4.05,0.61,22.69,3.03,0.66,58.29,55.57,47.91,44.43,39.47,26.38,55033,1
