datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/2/2017 11:00:00 PM,10/2/2017 7:00:00 PM,10/3/2017 12:00:00 AM,10/2/2017 8:00:00 PM,DAY,2158.7
10/3/2017 12:00:00 AM,10/2/2017 8:00:00 PM,10/3/2017 1:00:00 AM,10/2/2017 9:00:00 PM,DAY,2138.5
10/3/2017 1:00:00 AM,10/2/2017 9:00:00 PM,10/3/2017 2:00:00 AM,10/2/2017 10:00:00 PM,DAY,2015.8
10/3/2017 2:00:00 AM,10/2/2017 10:00:00 PM,10/3/2017 3:00:00 AM,10/2/2017 11:00:00 PM,DAY,1859.1
10/3/2017 3:00:00 AM,10/2/2017 11:00:00 PM,10/3/2017 4:00:00 AM,10/3/2017 12:00:00 AM,DAY,1719.4
10/3/2017 4:00:00 AM,10/3/2017 12:00:00 AM,10/3/2017 5:00:00 AM,10/3/2017 1:00:00 AM,DAY,1612.7
10/3/2017 5:00:00 AM,10/3/2017 1:00:00 AM,10/3/2017 6:00:00 AM,10/3/2017 2:00:00 AM,DAY,1536.1
10/3/2017 6:00:00 AM,10/3/2017 2:00:00 AM,10/3/2017 7:00:00 AM,10/3/2017 3:00:00 AM,DAY,1486.8
10/3/2017 7:00:00 AM,10/3/2017 3:00:00 AM,10/3/2017 8:00:00 AM,10/3/2017 4:00:00 AM,DAY,1469.2
10/3/2017 8:00:00 AM,10/3/2017 4:00:00 AM,10/3/2017 9:00:00 AM,10/3/2017 5:00:00 AM,DAY,1490.5
10/3/2017 9:00:00 AM,10/3/2017 5:00:00 AM,10/3/2017 10:00:00 AM,10/3/2017 6:00:00 AM,DAY,1596.6
10/3/2017 10:00:00 AM,10/3/2017 6:00:00 AM,10/3/2017 11:00:00 AM,10/3/2017 7:00:00 AM,DAY,1800.8
10/3/2017 11:00:00 AM,10/3/2017 7:00:00 AM,10/3/2017 12:00:00 PM,10/3/2017 8:00:00 AM,DAY,1928.3
10/3/2017 12:00:00 PM,10/3/2017 8:00:00 AM,10/3/2017 1:00:00 PM,10/3/2017 9:00:00 AM,DAY,1948.9
10/3/2017 1:00:00 PM,10/3/2017 9:00:00 AM,10/3/2017 2:00:00 PM,10/3/2017 10:00:00 AM,DAY,2001.2
10/3/2017 2:00:00 PM,10/3/2017 10:00:00 AM,10/3/2017 3:00:00 PM,10/3/2017 11:00:00 AM,DAY,2078.6
10/3/2017 3:00:00 PM,10/3/2017 11:00:00 AM,10/3/2017 4:00:00 PM,10/3/2017 12:00:00 PM,DAY,2132.0
10/3/2017 4:00:00 PM,10/3/2017 12:00:00 PM,10/3/2017 5:00:00 PM,10/3/2017 1:00:00 PM,DAY,2194.6
10/3/2017 5:00:00 PM,10/3/2017 1:00:00 PM,10/3/2017 6:00:00 PM,10/3/2017 2:00:00 PM,DAY,2260.3
10/3/2017 6:00:00 PM,10/3/2017 2:00:00 PM,10/3/2017 7:00:00 PM,10/3/2017 3:00:00 PM,DAY,2320.2
10/3/2017 7:00:00 PM,10/3/2017 3:00:00 PM,10/3/2017 8:00:00 PM,10/3/2017 4:00:00 PM,DAY,2353.8
10/3/2017 8:00:00 PM,10/3/2017 4:00:00 PM,10/3/2017 9:00:00 PM,10/3/2017 5:00:00 PM,DAY,2387.4
10/3/2017 9:00:00 PM,10/3/2017 5:00:00 PM,10/3/2017 10:00:00 PM,10/3/2017 6:00:00 PM,DAY,2397.2
10/3/2017 10:00:00 PM,10/3/2017 6:00:00 PM,10/3/2017 11:00:00 PM,10/3/2017 7:00:00 PM,DAY,2359.0
10/3/2017 11:00:00 PM,10/3/2017 7:00:00 PM,10/4/2017 12:00:00 AM,10/3/2017 8:00:00 PM,DAY,2361.1
10/4/2017 12:00:00 AM,10/3/2017 8:00:00 PM,10/4/2017 1:00:00 AM,10/3/2017 9:00:00 PM,DAY,2339.0
10/4/2017 1:00:00 AM,10/3/2017 9:00:00 PM,10/4/2017 2:00:00 AM,10/3/2017 10:00:00 PM,DAY,2208.1
10/4/2017 2:00:00 AM,10/3/2017 10:00:00 PM,10/4/2017 3:00:00 AM,10/3/2017 11:00:00 PM,DAY,2038.5
10/4/2017 3:00:00 AM,10/3/2017 11:00:00 PM,10/4/2017 4:00:00 AM,10/4/2017 12:00:00 AM,DAY,1886.6
10/4/2017 4:00:00 AM,10/4/2017 12:00:00 AM,10/4/2017 5:00:00 AM,10/4/2017 1:00:00 AM,DAY,1764.2
10/4/2017 5:00:00 AM,10/4/2017 1:00:00 AM,10/4/2017 6:00:00 AM,10/4/2017 2:00:00 AM,DAY,1681.1
10/4/2017 6:00:00 AM,10/4/2017 2:00:00 AM,10/4/2017 7:00:00 AM,10/4/2017 3:00:00 AM,DAY,1622.5
10/4/2017 7:00:00 AM,10/4/2017 3:00:00 AM,10/4/2017 8:00:00 AM,10/4/2017 4:00:00 AM,DAY,1590.6
10/4/2017 8:00:00 AM,10/4/2017 4:00:00 AM,10/4/2017 9:00:00 AM,10/4/2017 5:00:00 AM,DAY,1602.1
10/4/2017 9:00:00 AM,10/4/2017 5:00:00 AM,10/4/2017 10:00:00 AM,10/4/2017 6:00:00 AM,DAY,1702.4
10/4/2017 10:00:00 AM,10/4/2017 6:00:00 AM,10/4/2017 11:00:00 AM,10/4/2017 7:00:00 AM,DAY,1907.6
10/4/2017 11:00:00 AM,10/4/2017 7:00:00 AM,10/4/2017 12:00:00 PM,10/4/2017 8:00:00 AM,DAY,2038.4
10/4/2017 12:00:00 PM,10/4/2017 8:00:00 AM,10/4/2017 1:00:00 PM,10/4/2017 9:00:00 AM,DAY,2062.8
10/4/2017 1:00:00 PM,10/4/2017 9:00:00 AM,10/4/2017 2:00:00 PM,10/4/2017 10:00:00 AM,DAY,2114.6
10/4/2017 2:00:00 PM,10/4/2017 10:00:00 AM,10/4/2017 3:00:00 PM,10/4/2017 11:00:00 AM,DAY,2179.3
10/4/2017 3:00:00 PM,10/4/2017 11:00:00 AM,10/4/2017 4:00:00 PM,10/4/2017 12:00:00 PM,DAY,2260.1
10/4/2017 4:00:00 PM,10/4/2017 12:00:00 PM,10/4/2017 5:00:00 PM,10/4/2017 1:00:00 PM,DAY,2322.2
10/4/2017 5:00:00 PM,10/4/2017 1:00:00 PM,10/4/2017 6:00:00 PM,10/4/2017 2:00:00 PM,DAY,2395.9
10/4/2017 6:00:00 PM,10/4/2017 2:00:00 PM,10/4/2017 7:00:00 PM,10/4/2017 3:00:00 PM,DAY,2391.8
10/4/2017 7:00:00 PM,10/4/2017 3:00:00 PM,10/4/2017 8:00:00 PM,10/4/2017 4:00:00 PM,DAY,2372.9
10/4/2017 8:00:00 PM,10/4/2017 4:00:00 PM,10/4/2017 9:00:00 PM,10/4/2017 5:00:00 PM,DAY,2359.1
10/4/2017 9:00:00 PM,10/4/2017 5:00:00 PM,10/4/2017 10:00:00 PM,10/4/2017 6:00:00 PM,DAY,2346.5
10/4/2017 10:00:00 PM,10/4/2017 6:00:00 PM,10/4/2017 11:00:00 PM,10/4/2017 7:00:00 PM,DAY,2327.4
10/4/2017 11:00:00 PM,10/4/2017 7:00:00 PM,10/5/2017 12:00:00 AM,10/4/2017 8:00:00 PM,DAY,2333.1
10/5/2017 12:00:00 AM,10/4/2017 8:00:00 PM,10/5/2017 1:00:00 AM,10/4/2017 9:00:00 PM,DAY,2308.8
10/5/2017 1:00:00 AM,10/4/2017 9:00:00 PM,10/5/2017 2:00:00 AM,10/4/2017 10:00:00 PM,DAY,2197.8
10/5/2017 2:00:00 AM,10/4/2017 10:00:00 PM,10/5/2017 3:00:00 AM,10/4/2017 11:00:00 PM,DAY,2043.6
10/5/2017 3:00:00 AM,10/4/2017 11:00:00 PM,10/5/2017 4:00:00 AM,10/5/2017 12:00:00 AM,DAY,1894.5
10/5/2017 4:00:00 AM,10/5/2017 12:00:00 AM,10/5/2017 5:00:00 AM,10/5/2017 1:00:00 AM,DAY,1784.2
10/5/2017 5:00:00 AM,10/5/2017 1:00:00 AM,10/5/2017 6:00:00 AM,10/5/2017 2:00:00 AM,DAY,1708.0
10/5/2017 6:00:00 AM,10/5/2017 2:00:00 AM,10/5/2017 7:00:00 AM,10/5/2017 3:00:00 AM,DAY,1656.0
10/5/2017 7:00:00 AM,10/5/2017 3:00:00 AM,10/5/2017 8:00:00 AM,10/5/2017 4:00:00 AM,DAY,1622.9
