datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
10/2/2017 10:00:00 PM,10/2/2017 6:00:00 PM,10/2/2017 11:00:00 PM,10/2/2017 7:00:00 PM,ATSI,7706.8
10/2/2017 11:00:00 PM,10/2/2017 7:00:00 PM,10/3/2017 12:00:00 AM,10/2/2017 8:00:00 PM,ATSI,7857.6
10/3/2017 12:00:00 AM,10/2/2017 8:00:00 PM,10/3/2017 1:00:00 AM,10/2/2017 9:00:00 PM,ATSI,7822.8
10/3/2017 1:00:00 AM,10/2/2017 9:00:00 PM,10/3/2017 2:00:00 AM,10/2/2017 10:00:00 PM,ATSI,7443.4
10/3/2017 2:00:00 AM,10/2/2017 10:00:00 PM,10/3/2017 3:00:00 AM,10/2/2017 11:00:00 PM,ATSI,6925.6
10/3/2017 3:00:00 AM,10/2/2017 11:00:00 PM,10/3/2017 4:00:00 AM,10/3/2017 12:00:00 AM,ATSI,6443.9
10/3/2017 4:00:00 AM,10/3/2017 12:00:00 AM,10/3/2017 5:00:00 AM,10/3/2017 1:00:00 AM,ATSI,6134.1
10/3/2017 5:00:00 AM,10/3/2017 1:00:00 AM,10/3/2017 6:00:00 AM,10/3/2017 2:00:00 AM,ATSI,5905.0
10/3/2017 6:00:00 AM,10/3/2017 2:00:00 AM,10/3/2017 7:00:00 AM,10/3/2017 3:00:00 AM,ATSI,5799.1
10/3/2017 7:00:00 AM,10/3/2017 3:00:00 AM,10/3/2017 8:00:00 AM,10/3/2017 4:00:00 AM,ATSI,5727.6
10/3/2017 8:00:00 AM,10/3/2017 4:00:00 AM,10/3/2017 9:00:00 AM,10/3/2017 5:00:00 AM,ATSI,5741.4
10/3/2017 9:00:00 AM,10/3/2017 5:00:00 AM,10/3/2017 10:00:00 AM,10/3/2017 6:00:00 AM,ATSI,6144.6
10/3/2017 10:00:00 AM,10/3/2017 6:00:00 AM,10/3/2017 11:00:00 AM,10/3/2017 7:00:00 AM,ATSI,6843.2
10/3/2017 11:00:00 AM,10/3/2017 7:00:00 AM,10/3/2017 12:00:00 PM,10/3/2017 8:00:00 AM,ATSI,7278.5
10/3/2017 12:00:00 PM,10/3/2017 8:00:00 AM,10/3/2017 1:00:00 PM,10/3/2017 9:00:00 AM,ATSI,7357.6
10/3/2017 1:00:00 PM,10/3/2017 9:00:00 AM,10/3/2017 2:00:00 PM,10/3/2017 10:00:00 AM,ATSI,7510.4
10/3/2017 2:00:00 PM,10/3/2017 10:00:00 AM,10/3/2017 3:00:00 PM,10/3/2017 11:00:00 AM,ATSI,7676.4
10/3/2017 3:00:00 PM,10/3/2017 11:00:00 AM,10/3/2017 4:00:00 PM,10/3/2017 12:00:00 PM,ATSI,7850.2
10/3/2017 4:00:00 PM,10/3/2017 12:00:00 PM,10/3/2017 5:00:00 PM,10/3/2017 1:00:00 PM,ATSI,7960.9
10/3/2017 5:00:00 PM,10/3/2017 1:00:00 PM,10/3/2017 6:00:00 PM,10/3/2017 2:00:00 PM,ATSI,8199.0
10/3/2017 6:00:00 PM,10/3/2017 2:00:00 PM,10/3/2017 7:00:00 PM,10/3/2017 3:00:00 PM,ATSI,8295.8
10/3/2017 7:00:00 PM,10/3/2017 3:00:00 PM,10/3/2017 8:00:00 PM,10/3/2017 4:00:00 PM,ATSI,8412.4
10/3/2017 8:00:00 PM,10/3/2017 4:00:00 PM,10/3/2017 9:00:00 PM,10/3/2017 5:00:00 PM,ATSI,8510.7
