datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
7/2/2018 3:00:00 PM,7/2/2018 11:00:00 AM,RFC,WEST,AEP,AEPOPT,9077.221,True
7/2/2018 4:00:00 PM,7/2/2018 12:00:00 PM,RFC,WEST,AEP,AEPAPT,5987.681,True
7/2/2018 4:00:00 PM,7/2/2018 12:00:00 PM,RFC,WEST,AEP,AEPIMP,4081.396,True
7/2/2018 4:00:00 PM,7/2/2018 12:00:00 PM,RFC,WEST,AEP,AEPKPT,854.373,True
7/2/2018 4:00:00 PM,7/2/2018 12:00:00 PM,RFC,WEST,AEP,AEPOPT,9523.690,True
7/2/2018 5:00:00 PM,7/2/2018 1:00:00 PM,RFC,WEST,AEP,AEPAPT,6168.040,True
7/2/2018 5:00:00 PM,7/2/2018 1:00:00 PM,RFC,WEST,AEP,AEPIMP,4201.261,True
7/2/2018 5:00:00 PM,7/2/2018 1:00:00 PM,RFC,WEST,AEP,AEPKPT,902.839,True
7/2/2018 5:00:00 PM,7/2/2018 1:00:00 PM,RFC,WEST,AEP,AEPOPT,9767.865,True
7/2/2018 6:00:00 PM,7/2/2018 2:00:00 PM,RFC,WEST,AEP,AEPAPT,6315.639,True
7/2/2018 6:00:00 PM,7/2/2018 2:00:00 PM,RFC,WEST,AEP,AEPIMP,4252.012,True
7/2/2018 6:00:00 PM,7/2/2018 2:00:00 PM,RFC,WEST,AEP,AEPKPT,924.662,True
7/2/2018 6:00:00 PM,7/2/2018 2:00:00 PM,RFC,WEST,AEP,AEPOPT,9317.328,True
7/2/2018 7:00:00 PM,7/2/2018 3:00:00 PM,RFC,WEST,AEP,AEPAPT,6294.515,True
7/2/2018 7:00:00 PM,7/2/2018 3:00:00 PM,RFC,WEST,AEP,AEPIMP,4268.229,True
7/2/2018 7:00:00 PM,7/2/2018 3:00:00 PM,RFC,WEST,AEP,AEPKPT,948.996,True
7/2/2018 7:00:00 PM,7/2/2018 3:00:00 PM,RFC,WEST,AEP,AEPOPT,8866.545,True
