datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
7/2/2018 4:00:00 AM,7/2/2018 12:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,27.11,25.86,-0.38,-0.87,TRUE,1
7/2/2018 5:00:00 AM,7/2/2018 1:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,23.76,23.07,0.03,-0.72,TRUE,1
7/2/2018 6:00:00 AM,7/2/2018 2:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,21.94,21.43,0.05,-0.56,TRUE,1
7/2/2018 7:00:00 AM,7/2/2018 3:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,20.96,20.54,0.05,-0.47,TRUE,1
7/2/2018 8:00:00 AM,7/2/2018 4:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,20.84,20.45,0.05,-0.44,TRUE,1
7/2/2018 9:00:00 AM,7/2/2018 5:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,21.89,21.55,0.07,-0.41,TRUE,1
7/2/2018 10:00:00 AM,7/2/2018 6:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,24.69,24.34,0.11,-0.46,TRUE,1
7/2/2018 11:00:00 AM,7/2/2018 7:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,28.43,27.59,-0.31,-0.53,TRUE,1
7/2/2018 12:00:00 PM,7/2/2018 8:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,33.12,32.3,0.01,-0.83,TRUE,1
7/2/2018 1:00:00 PM,7/2/2018 9:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,40.17,38.05,-0.93,-1.19,TRUE,1
7/2/2018 2:00:00 PM,7/2/2018 10:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,50.82,42.08,-7.35,-1.39,TRUE,1
7/2/2018 3:00:00 PM,7/2/2018 11:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,59.15,55.75,-1.71,-1.69,TRUE,1
7/2/2018 4:00:00 PM,7/2/2018 12:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,72.83,71.74,0.85,-1.94,TRUE,1
7/2/2018 5:00:00 PM,7/2/2018 1:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,93.99,91.18,-0.12,-2.69,TRUE,1
7/2/2018 6:00:00 PM,7/2/2018 2:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,112.27,108.21,-0.76,-3.3,TRUE,1
7/2/2018 7:00:00 PM,7/2/2018 3:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,126.56,121.1,-1.41,-4.05,TRUE,1
7/2/2018 8:00:00 PM,7/2/2018 4:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,132.18,119.34,-8.4,-4.44,TRUE,1
7/2/2018 9:00:00 PM,7/2/2018 5:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,120.19,107.25,-9.11,-3.83,TRUE,1
7/2/2018 10:00:00 PM,7/2/2018 6:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,88.16,80.41,-4.98,-2.77,TRUE,1
7/2/2018 11:00:00 PM,7/2/2018 7:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,65.29,57.92,-5.53,-1.84,TRUE,1
7/3/2018 12:00:00 AM,7/2/2018 8:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,54.54,47.16,-5.92,-1.46,TRUE,1
7/3/2018 1:00:00 AM,7/2/2018 9:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,44.67,39.43,-4.09,-1.15,TRUE,1
7/3/2018 2:00:00 AM,7/2/2018 10:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,36.94,34.33,-1.72,-0.89,TRUE,1
7/3/2018 3:00:00 AM,7/2/2018 11:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,32.5,31.9,0.25,-0.85,TRUE,1
7/3/2018 4:00:00 AM,7/3/2018 12:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,26.92,25.6,-0.61,-0.71,TRUE,1
7/3/2018 5:00:00 AM,7/3/2018 1:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,23.91,23.08,-0.34,-0.49,TRUE,1
7/3/2018 6:00:00 AM,7/3/2018 2:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,21.68,21.02,-0.23,-0.43,TRUE,1
7/3/2018 7:00:00 AM,7/3/2018 3:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,20.78,20.17,-0.19,-0.42,TRUE,1
7/3/2018 8:00:00 AM,7/3/2018 4:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,20.7,20.18,-0.06,-0.46,TRUE,1
7/3/2018 9:00:00 AM,7/3/2018 5:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,21.48,20.94,-0.07,-0.47,TRUE,1
7/3/2018 10:00:00 AM,7/3/2018 6:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,24.29,23.46,-0.15,-0.68,TRUE,1
7/3/2018 11:00:00 AM,7/3/2018 7:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,27.96,26.91,-0.2,-0.85,TRUE,1
7/3/2018 12:00:00 PM,7/3/2018 8:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,32.6,31.4,-0.17,-1.03,TRUE,1
7/3/2018 1:00:00 PM,7/3/2018 9:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,38.57,37.71,0.27,-1.13,TRUE,1
7/3/2018 2:00:00 PM,7/3/2018 10:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,44.76,43.24,-0.31,-1.21,TRUE,1
7/3/2018 3:00:00 PM,7/3/2018 11:00:00 AM,5021072,BELPRE,138 KV,T1,LOAD,AEP,51.91,49.33,-1.14,-1.44,TRUE,1
7/3/2018 4:00:00 PM,7/3/2018 12:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,60.61,55.09,-3.91,-1.61,TRUE,1
7/3/2018 5:00:00 PM,7/3/2018 1:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,79.87,71.24,-6.49,-2.14,TRUE,1
7/3/2018 6:00:00 PM,7/3/2018 2:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,84.73,74.56,-7.72,-2.45,TRUE,1
7/3/2018 7:00:00 PM,7/3/2018 3:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,89.2,79.38,-7.26,-2.56,TRUE,1
7/3/2018 8:00:00 PM,7/3/2018 4:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,92.55,79.57,-8.89,-4.09,TRUE,1
7/3/2018 9:00:00 PM,7/3/2018 5:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,83.6,75.51,-4.46,-3.63,TRUE,1
7/3/2018 10:00:00 PM,7/3/2018 6:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,65.73,61.76,-1.43,-2.54,TRUE,1
7/3/2018 11:00:00 PM,7/3/2018 7:00:00 PM,5021072,BELPRE,138 KV,T1,LOAD,AEP,50.29,46.77,-1.9,-1.62,TRUE,1
