time,Coal,Gas,Hydro,Multiple Fuels,Nuclear,Oil,Other,Other Renewables,Solar,Storage,Wind,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,0
0,21888.4,22844.7,212.6,525,30190,207.9,0,577.3,0,0,3366.2,6311,6570.9,6937.5,6532.9,6134.1,5734.7,5548.4,23.79,0.69,0.43,21.86,0.65,0.32,20.11,1.15,0.31,17.52,1.77,0.27,17.01,2.25,0.15,15.79,2.2,0.2,24.91,22.83,21.57,19.56,19.41,18.19,55033
1,19415.7,21018.3,211,674.9,30209.7,208.8,0,561.4,0,0,3646.1,6083.2,6348.3,6601.5,6288.7,5905,5620.7,5403,21.95,0.72,0.34,20.7,0.71,0.3,18.86,1.34,0.26,16.15,1.72,0.28,17.03,1.72,0.12,14.99,2.27,0.18,23.01,21.71,20.46,18.15,18.87,17.44,55033
2,17354.9,20280.2,209.9,635.6,30229.7,213.6,0,572.1,0,0,3800,5921.6,6115.7,6389.9,6159.4,5799.1,5583.2,5323.1,20.98,0.77,0.29,19.77,0.71,0.29,17.8,1.41,0.24,15.65,1.97,0.25,16.15,1.62,0.16,14.03,2.37,0.14,22.04,20.77,19.45,17.87,17.93,16.54,55033
3,16326.9,19672.6,210.7,468.2,30241.8,217.2,0,576.1,0,0,4121.3,5808.4,6126.6,6241,6059.8,5727.6,5567.3,5253.4,20.26,0.91,0.28,19.18,0.76,0.26,17.22,1.49,0.24,15.41,1.99,0.24,15.95,1.58,0.16,12.97,2.36,0.14,21.45,20.2,18.95,17.64,17.69,15.47,55033
4,15875.4,20153.1,225,397.3,30276,222,0,585.1,0,0,3724.1,5820.7,6226.2,6332.8,6169.5,5741.4,5778.8,5253,20.87,1.01,0.35,19.96,0.92,0.36,18.04,1.44,0.28,15.94,2.05,0.27,16.73,1.97,0.18,13.22,2.86,0.16,22.23,21.24,19.76,18.26,18.88,16.24,55033
5,16293.4,19977.1,237.2,464,30297.3,224.6,0,570.3,0,0,3843.4,5901.2,6601.5,6658.4,6519.2,6144.6,6173.3,5302.5,23.19,1.19,0.39,22.29,1.01,0.49,20.82,1.25,0.36,18.66,2.16,0.28,19.6,2.23,0.23,13.7,2.88,0.15,24.77,23.79,22.43,21.1,22.06,16.73,55033
6,17369,20553.3,250.9,445.2,30287.5,225.8,0,553.2,0,0,4006.3,6146.6,7282.3,7313,7241.4,6843.2,6911.3,5564.9,29.58,1.85,0.68,27.19,1.09,0.75,24.29,1.4,0.42,23.61,2.18,0.51,24.44,1.85,0.23,14.29,2.81,0.18,32.11,29.03,26.11,26.3,26.52,17.28,55033
7,18326.7,21439.8,250,581.3,30335.9,225.7,0,557.2,1.1,0,4347.5,6445.1,7801.5,7770.4,7732,7278.5,7332.2,5683.4,29.21,1.41,0.83,29.25,1.13,0.84,24.11,0.9,0.43,23.69,1.45,0.64,23.99,1.31,0.25,15.32,2.28,0.23,31.45,31.22,25.44,25.78,25.55,17.83,55033
8,19227.7,22934.9,248,596.4,30343.3,222,0,557.7,117.2,0,4362.3,6692.1,7943.1,7776.3,7903.1,7357.6,7402.1,5888.5,29.33,1.54,0.84,29.16,0.93,0.93,24.22,1.08,0.47,24.28,1.41,0.73,24.64,2.12,0.27,17.58,2.14,0.48,31.71,31.02,25.77,26.42,27.03,20.2,55033
9,21457.5,24906.5,264.1,767.6,30316.1,222.5,0,550.2,319.4,0,4388.8,6928.5,8085.2,7873.4,8006.8,7510.4,7556.5,6043.2,31.66,1.47,0.95,31.39,0.79,0.99,26.01,1.17,0.43,26.18,1.23,0.79,25.57,2.79,0.27,19.53,1.76,0.58,34.08,33.17,27.61,28.2,28.63,21.87,55033
