datetime_beginning_ept,total_lmp_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da
10/1/2017 12:00:00 AM,18.19,15.79,2.2,0.2
10/1/2017 1:00:00 AM,17.44,14.99,2.27,0.18
10/1/2017 2:00:00 AM,16.54,14.03,2.37,0.14
10/1/2017 3:00:00 AM,15.47,12.97,2.36,0.14
10/1/2017 4:00:00 AM,16.24,13.22,2.86,0.16
10/1/2017 5:00:00 AM,16.73,13.7,2.88,0.15
10/1/2017 6:00:00 AM,17.28,14.29,2.81,0.18
10/1/2017 7:00:00 AM,17.83,15.32,2.28,0.23
10/1/2017 8:00:00 AM,20.2,17.58,2.14,0.48
10/1/2017 9:00:00 AM,21.87,19.53,1.76,0.58
10/1/2017 10:00:00 AM,22.7,20.55,1.55,0.6
10/1/2017 11:00:00 AM,23.19,21.03,1.56,0.6
10/1/2017 12:00:00 PM,23.6,21.56,1.45,0.59
10/1/2017 1:00:00 PM,23.85,21.82,1.48,0.55
10/1/2017 2:00:00 PM,23.78,21.76,1.49,0.53
10/1/2017 3:00:00 PM,23.96,22.06,1.38,0.52
10/1/2017 4:00:00 PM,24.65,22.69,1.69,0.27
10/1/2017 5:00:00 PM,25.0,23.33,1.44,0.23
10/1/2017 6:00:00 PM,25.65,23.99,1.44,0.22
10/1/2017 7:00:00 PM,31.21,29.58,1.38,0.25
10/1/2017 8:00:00 PM,27.42,25.81,1.28,0.33
10/1/2017 9:00:00 PM,24.33,22.67,1.34,0.32
10/1/2017 10:00:00 PM,21.54,19.87,1.39,0.28
10/1/2017 11:00:00 PM,18.0,16.44,1.37,0.19
10/2/2017 12:00:00 AM,19.41,17.01,2.25,0.15
10/2/2017 1:00:00 AM,18.87,17.03,1.72,0.12
10/2/2017 2:00:00 AM,17.93,16.15,1.62,0.16
10/2/2017 3:00:00 AM,17.69,15.95,1.58,0.16
10/2/2017 4:00:00 AM,18.88,16.73,1.97,0.18
10/2/2017 5:00:00 AM,22.06,19.6,2.23,0.23
10/2/2017 6:00:00 AM,26.52,24.44,1.85,0.23
10/2/2017 7:00:00 AM,25.55,23.99,1.31,0.25
10/2/2017 8:00:00 AM,27.03,24.64,2.12,0.27
10/2/2017 9:00:00 AM,28.63,25.57,2.79,0.27
10/2/2017 10:00:00 AM,31.02,27.67,3.08,0.27
10/2/2017 11:00:00 AM,32.74,29.26,3.21,0.27
10/2/2017 12:00:00 PM,35.5,31.6,3.62,0.28
10/2/2017 1:00:00 PM,40.2,35.13,4.77,0.3
10/2/2017 2:00:00 PM,38.34,34.34,3.74,0.26
10/2/2017 3:00:00 PM,39.09,34.62,4.2,0.27
10/2/2017 4:00:00 PM,38.62,34.81,3.65,0.16
10/2/2017 5:00:00 PM,36.83,33.17,3.52,0.14
10/2/2017 6:00:00 PM,34.79,32.43,2.35,0.01
10/2/2017 7:00:00 PM,37.16,34.9,2.14,0.12
10/2/2017 8:00:00 PM,33.1,30.25,2.71,0.14
10/2/2017 9:00:00 PM,28.15,25.64,2.34,0.17
10/2/2017 10:00:00 PM,23.59,21.75,1.62,0.22
10/2/2017 11:00:00 PM,22.54,20.81,1.51,0.22
10/3/2017 12:00:00 AM,19.56,17.52,1.77,0.27
10/3/2017 1:00:00 AM,18.15,16.15,1.72,0.28
10/3/2017 2:00:00 AM,17.87,15.65,1.97,0.25
10/3/2017 3:00:00 AM,17.64,15.41,1.99,0.24
10/3/2017 4:00:00 AM,18.26,15.94,2.05,0.27
10/3/2017 5:00:00 AM,21.1,18.66,2.16,0.28
10/3/2017 6:00:00 AM,26.3,23.61,2.18,0.51
10/3/2017 7:00:00 AM,25.78,23.69,1.45,0.64
10/3/2017 8:00:00 AM,26.42,24.28,1.41,0.73
10/3/2017 9:00:00 AM,28.2,26.18,1.23,0.79
10/3/2017 10:00:00 AM,31.87,29.6,1.51,0.76
10/3/2017 11:00:00 AM,33.9,31.3,1.82,0.78
10/3/2017 12:00:00 PM,36.81,33.46,2.56,0.79
10/3/2017 1:00:00 PM,39.27,36.36,2.15,0.76
10/3/2017 2:00:00 PM,40.26,35.95,3.6,0.71
10/3/2017 3:00:00 PM,40.87,36.43,3.78,0.66
10/3/2017 4:00:00 PM,44.38,40.66,3.01,0.71
10/3/2017 5:00:00 PM,41.98,38.82,2.53,0.63
10/3/2017 6:00:00 PM,39.38,37.6,1.22,0.56
10/3/2017 7:00:00 PM,41.05,39.84,0.59,0.62
10/3/2017 8:00:00 PM,39.23,37.47,1.06,0.7
10/3/2017 9:00:00 PM,29.82,28.26,0.94,0.62
10/3/2017 10:00:00 PM,23.8,22.4,0.95,0.45
10/3/2017 11:00:00 PM,22.37,21.49,0.49,0.39
10/4/2017 12:00:00 AM,21.57,20.11,1.15,0.31
10/4/2017 1:00:00 AM,20.46,18.86,1.34,0.26
10/4/2017 2:00:00 AM,19.45,17.8,1.41,0.24
10/4/2017 3:00:00 AM,18.95,17.22,1.49,0.24
10/4/2017 4:00:00 AM,19.76,18.04,1.44,0.28
10/4/2017 5:00:00 AM,22.43,20.82,1.25,0.36
10/4/2017 6:00:00 AM,26.11,24.29,1.4,0.42
10/4/2017 7:00:00 AM,25.44,24.11,0.9,0.43
10/4/2017 8:00:00 AM,25.77,24.22,1.08,0.47
10/4/2017 9:00:00 AM,27.61,26.01,1.17,0.43
10/4/2017 10:00:00 AM,30.83,28.76,1.58,0.49
10/4/2017 11:00:00 AM,32.52,30.23,1.77,0.52
10/4/2017 12:00:00 PM,37.97,34.9,2.35,0.72
10/4/2017 1:00:00 PM,40.24,37.01,2.62,0.61
10/4/2017 2:00:00 PM,41.7,38.24,2.85,0.61
10/4/2017 3:00:00 PM,43.36,39.8,2.91,0.65
10/4/2017 4:00:00 PM,48.02,44.39,2.97,0.66
10/4/2017 5:00:00 PM,43.95,40.86,2.53,0.56
10/4/2017 6:00:00 PM,39.8,37.4,2.0,0.4
10/4/2017 7:00:00 PM,42.1,40.01,1.71,0.38
10/4/2017 8:00:00 PM,38.77,35.8,2.39,0.58
10/4/2017 9:00:00 PM,30.57,28.59,1.66,0.32
10/4/2017 10:00:00 PM,24.75,23.23,1.31,0.21
10/4/2017 11:00:00 PM,23.34,21.67,1.44,0.23
10/5/2017 12:00:00 AM,22.83,21.86,0.65,0.32
10/5/2017 1:00:00 AM,21.71,20.7,0.71,0.3
10/5/2017 2:00:00 AM,20.77,19.77,0.71,0.29
10/5/2017 3:00:00 AM,20.2,19.18,0.76,0.26
10/5/2017 4:00:00 AM,21.24,19.96,0.92,0.36
10/5/2017 5:00:00 AM,23.79,22.29,1.01,0.49
10/5/2017 6:00:00 AM,29.03,27.19,1.09,0.75
10/5/2017 7:00:00 AM,31.22,29.25,1.13,0.84
10/5/2017 8:00:00 AM,31.02,29.16,0.93,0.93
10/5/2017 9:00:00 AM,33.17,31.39,0.79,0.99
10/5/2017 10:00:00 AM,35.39,33.33,0.93,1.13
10/5/2017 11:00:00 AM,38.63,36.48,0.85,1.3
10/5/2017 12:00:00 PM,43.35,40.49,1.35,1.51
10/5/2017 1:00:00 PM,46.07,42.35,2.17,1.55
10/5/2017 2:00:00 PM,48.88,44.47,2.8,1.61
10/5/2017 3:00:00 PM,49.94,45.96,2.31,1.67
10/5/2017 4:00:00 PM,56.26,52.21,2.29,1.76
10/5/2017 5:00:00 PM,50.55,47.78,1.25,1.52
10/5/2017 6:00:00 PM,47.09,44.59,1.05,1.45
10/5/2017 7:00:00 PM,55.24,52.39,1.16,1.69
10/5/2017 8:00:00 PM,44.26,41.38,1.58,1.3
10/5/2017 9:00:00 PM,36.09,34.16,0.87,1.06
10/5/2017 10:00:00 PM,28.74,27.42,0.63,0.69
10/5/2017 11:00:00 PM,25.13,23.94,0.63,0.56
10/6/2017 12:00:00 AM,24.91,23.79,0.69,0.43
10/6/2017 1:00:00 AM,23.01,21.95,0.72,0.34
10/6/2017 2:00:00 AM,22.04,20.98,0.77,0.29
10/6/2017 3:00:00 AM,21.45,20.26,0.91,0.28
10/6/2017 4:00:00 AM,22.23,20.87,1.01,0.35
10/6/2017 5:00:00 AM,24.77,23.19,1.19,0.39
10/6/2017 6:00:00 AM,32.11,29.58,1.85,0.68
10/6/2017 7:00:00 AM,31.45,29.21,1.41,0.83
10/6/2017 8:00:00 AM,31.71,29.33,1.54,0.84
10/6/2017 9:00:00 AM,34.08,31.66,1.47,0.95
10/6/2017 10:00:00 AM,39.79,37.21,1.47,1.11
10/6/2017 11:00:00 AM,43.15,39.85,2.14,1.16
10/6/2017 12:00:00 PM,45.9,41.71,2.88,1.31
10/6/2017 1:00:00 PM,47.84,43.98,2.48,1.38
10/6/2017 2:00:00 PM,52.97,48.63,2.91,1.43
10/6/2017 3:00:00 PM,54.46,50.52,2.76,1.18
10/6/2017 4:00:00 PM,57.94,51.95,4.86,1.13
10/6/2017 5:00:00 PM,51.13,48.01,2.14,0.98
10/6/2017 6:00:00 PM,44.94,41.79,2.18,0.97
10/6/2017 7:00:00 PM,46.81,42.85,2.88,1.08
10/6/2017 8:00:00 PM,44.25,40.51,2.63,1.11
10/6/2017 9:00:00 PM,34.4,32.15,1.45,0.8
10/6/2017 10:00:00 PM,28.4,26.46,1.43,0.51
10/6/2017 11:00:00 PM,26.07,24.24,1.47,0.36
10/7/2017 12:00:00 AM,26.7,24.67,1.46,0.57
10/7/2017 1:00:00 AM,24.03,22.01,1.49,0.53
10/7/2017 2:00:00 AM,22.83,20.9,1.41,0.52
10/7/2017 3:00:00 AM,22.11,20.23,1.37,0.51
10/7/2017 4:00:00 AM,21.9,19.77,1.61,0.52
10/7/2017 5:00:00 AM,22.3,20.2,1.61,0.49
10/7/2017 6:00:00 AM,23.3,20.65,1.96,0.69
10/7/2017 7:00:00 AM,24.49,22.03,1.71,0.75
10/7/2017 8:00:00 AM,25.88,23.42,1.61,0.85
10/7/2017 9:00:00 AM,30.37,27.4,1.96,1.01
10/7/2017 10:00:00 AM,35.36,32.08,2.1,1.18
10/7/2017 11:00:00 AM,42.66,36.93,4.35,1.38
10/7/2017 12:00:00 PM,48.8,41.31,6.0,1.49
10/7/2017 1:00:00 PM,50.78,42.99,6.35,1.44
10/7/2017 2:00:00 PM,59.43,47.34,10.65,1.44
10/7/2017 3:00:00 PM,66.23,52.4,12.38,1.45
10/7/2017 4:00:00 PM,67.92,55.18,11.24,1.5
10/7/2017 5:00:00 PM,64.3,52.27,10.67,1.36
10/7/2017 6:00:00 PM,52.48,45.62,5.57,1.29
10/7/2017 7:00:00 PM,55.85,49.29,4.91,1.65
10/7/2017 8:00:00 PM,47.2,41.84,3.99,1.37
10/7/2017 9:00:00 PM,37.78,34.98,1.71,1.09
10/7/2017 10:00:00 PM,29.55,28.11,0.78,0.66
10/7/2017 11:00:00 PM,26.43,24.48,1.52,0.43
10/8/2017 12:00:00 AM,23.83,22.16,1.18,0.49
10/8/2017 1:00:00 AM,22.65,20.8,1.39,0.46
10/8/2017 2:00:00 AM,21.71,19.81,1.5,0.4
10/8/2017 3:00:00 AM,20.91,19.04,1.48,0.39
10/8/2017 4:00:00 AM,20.79,18.92,1.45,0.42
10/8/2017 5:00:00 AM,21.27,19.31,1.51,0.45
10/8/2017 6:00:00 AM,22.17,20.16,1.53,0.48
10/8/2017 7:00:00 AM,23.1,21.07,1.42,0.61
10/8/2017 8:00:00 AM,24.56,22.47,1.3,0.79
10/8/2017 9:00:00 AM,26.98,24.58,1.46,0.94
10/8/2017 10:00:00 AM,31.29,28.57,1.52,1.2
10/8/2017 11:00:00 AM,35.36,32.22,1.63,1.51
10/8/2017 12:00:00 PM,37.55,34.86,1.07,1.62
10/8/2017 1:00:00 PM,42.12,39.66,0.64,1.82
10/8/2017 2:00:00 PM,44.16,41.24,0.95,1.97
10/8/2017 3:00:00 PM,46.96,43.77,1.14,2.05
10/8/2017 4:00:00 PM,51.17,47.62,1.22,2.33
10/8/2017 5:00:00 PM,50.06,46.87,1.1,2.09
10/8/2017 6:00:00 PM,48.11,46.41,-0.17,1.87
10/8/2017 7:00:00 PM,58.02,54.9,0.8,2.32
10/8/2017 8:00:00 PM,49.84,46.34,1.59,1.91
10/8/2017 9:00:00 PM,42.07,39.22,1.28,1.57
10/8/2017 10:00:00 PM,30.55,28.78,0.79,0.98
10/8/2017 11:00:00 PM,25.88,24.08,1.19,0.61
10/9/2017 12:00:00 AM,24.31,22.68,1.24,0.39
10/9/2017 1:00:00 AM,22.77,20.99,1.45,0.33
10/9/2017 2:00:00 AM,22.29,20.55,1.44,0.3
10/9/2017 3:00:00 AM,22.13,20.34,1.5,0.29
10/9/2017 4:00:00 AM,22.16,20.29,1.61,0.26
10/9/2017 5:00:00 AM,23.42,21.54,1.58,0.3
10/9/2017 6:00:00 AM,31.43,29.55,1.5,0.38
10/9/2017 7:00:00 AM,30.55,29.14,1.08,0.33
10/9/2017 8:00:00 AM,31.22,29.71,1.1,0.41
10/9/2017 9:00:00 AM,37.03,35.69,0.81,0.53
10/9/2017 10:00:00 AM,42.08,40.94,0.42,0.72
10/9/2017 11:00:00 AM,43.2,41.83,0.6,0.77
10/9/2017 12:00:00 PM,43.85,42.36,0.76,0.73
10/9/2017 1:00:00 PM,45.42,43.39,1.28,0.75
10/9/2017 2:00:00 PM,49.03,45.9,2.27,0.86
10/9/2017 3:00:00 PM,51.59,48.7,2.05,0.84
10/9/2017 4:00:00 PM,56.7,53.12,2.55,1.03
10/9/2017 5:00:00 PM,53.86,51.18,1.7,0.98
10/9/2017 6:00:00 PM,49.58,47.96,0.73,0.89
10/9/2017 7:00:00 PM,57.5,56.07,0.3,1.13
10/9/2017 8:00:00 PM,45.77,44.48,0.16,1.13
10/9/2017 9:00:00 PM,38.76,37.26,0.63,0.87
10/9/2017 10:00:00 PM,30.96,29.6,0.8,0.56
10/9/2017 11:00:00 PM,26.61,25.58,0.57,0.46
10/10/2017 12:00:00 AM,25.36,24.86,0.19,0.31
10/10/2017 1:00:00 AM,24.17,22.96,0.9,0.31
10/10/2017 2:00:00 AM,23.55,21.99,1.21,0.35
10/10/2017 3:00:00 AM,23.34,21.66,1.34,0.34
10/10/2017 4:00:00 AM,23.77,21.73,1.65,0.39
10/10/2017 5:00:00 AM,26.97,25.18,1.38,0.41
10/10/2017 6:00:00 AM,34.26,31.79,1.87,0.6
10/10/2017 7:00:00 AM,36.04,33.79,1.59,0.66
10/10/2017 8:00:00 AM,37.08,34.96,1.52,0.6
10/10/2017 9:00:00 AM,38.84,36.82,1.37,0.65
10/10/2017 10:00:00 AM,43.08,40.79,1.53,0.76
10/10/2017 11:00:00 AM,48.44,43.16,4.34,0.94
10/10/2017 12:00:00 PM,52.94,45.67,6.22,1.05
10/10/2017 1:00:00 PM,57.44,48.91,7.35,1.18
10/10/2017 2:00:00 PM,63.14,53.66,8.2,1.28
10/10/2017 3:00:00 PM,63.89,55.35,7.32,1.22
10/10/2017 4:00:00 PM,67.84,57.95,8.65,1.24
10/10/2017 5:00:00 PM,59.89,52.25,6.64,1.0
10/10/2017 6:00:00 PM,56.82,49.52,6.4,0.9
10/10/2017 7:00:00 PM,55.02,48.4,5.79,0.83
10/10/2017 8:00:00 PM,44.65,40.52,3.39,0.74
10/10/2017 9:00:00 PM,37.14,34.82,1.74,0.58
10/10/2017 10:00:00 PM,28.99,27.6,1.03,0.36
10/10/2017 11:00:00 PM,24.17,23.3,0.56,0.31
10/11/2017 12:00:00 AM,23.83,22.62,0.97,0.24
10/11/2017 1:00:00 AM,23.34,22.01,1.15,0.18
10/11/2017 2:00:00 AM,22.42,20.96,1.22,0.24
10/11/2017 3:00:00 AM,22.14,20.69,1.18,0.27
10/11/2017 4:00:00 AM,22.45,20.76,1.38,0.31
10/11/2017 5:00:00 AM,24.1,22.45,1.36,0.29
10/11/2017 6:00:00 AM,32.77,30.55,1.84,0.38
10/11/2017 7:00:00 AM,31.55,29.74,1.27,0.54
10/11/2017 8:00:00 AM,31.48,29.32,1.21,0.95
10/11/2017 9:00:00 AM,32.89,30.72,1.15,1.02
10/11/2017 10:00:00 AM,35.97,33.62,1.21,1.14
10/11/2017 11:00:00 AM,36.76,34.59,0.93,1.24
10/11/2017 12:00:00 PM,37.33,35.18,0.85,1.3
10/11/2017 1:00:00 PM,39.53,37.26,0.85,1.42
10/11/2017 2:00:00 PM,41.25,38.92,0.89,1.44
10/11/2017 3:00:00 PM,41.08,39.03,0.76,1.29
10/11/2017 4:00:00 PM,42.64,40.29,1.07,1.28
10/11/2017 5:00:00 PM,41.2,38.78,1.28,1.14
10/11/2017 6:00:00 PM,41.51,39.25,1.07,1.19
10/11/2017 7:00:00 PM,44.39,42.96,0.02,1.41
10/11/2017 8:00:00 PM,38.03,36.04,0.86,1.13
